,Age,Gender,Education_Status,Employment_Status,Working_Week (Yearly),Household_Status,Citizenship,Tax_Status,Gains,Losses,Dividends
0,63,0,693.1542112950341,747.7302481351804,1,806.9424928794249,1,414.2280701754386,0,0,0
1,37,0,773.3871370590072,747.7302481351804,5,806.9424928794249,1,660.7064309306392,0,0,0
2,58,1,693.1542112950341,747.7302481351804,5,806.9424928794249,1,796.7804206309464,1,0,0
3,44,0,693.1542112950341,747.7302481351804,5,806.9424928794249,1,660.7064309306392,0,0,0
4,37,1,693.1542112950341,747.7302481351804,5,806.9424928794249,1,697.4142614601019,0,0,0
5,55,1,693.1542112950341,747.7302481351804,4,806.9424928794249,1,660.7064309306392,0,0,1
8,24,1,773.3871370590072,711.0952068286277,5,569.4171686746988,1,660.7064309306392,0,0,0
9,53,0,693.1542112950341,243.60848769649283,3,806.9424928794249,1,796.7804206309464,0,0,0
10,56,1,693.1542112950341,711.0952068286277,5,728.6656035328754,1,707.1732675661159,0,0,0
12,34,1,693.1542112950341,747.7302481351804,5,806.9424928794249,0,796.7804206309464,0,0,0
13,40,0,693.1542112950341,747.7302481351804,5,728.6656035328754,0,796.7804206309464,0,0,0
14,44,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,1
15,21,1,773.3871370590072,747.7302481351804,4,569.4171686746988,1,414.2280701754386,0,0,0
17,48,1,773.3871370590072,711.0952068286277,5,806.9424928794249,1,660.7064309306392,0,0,0
18,36,0,773.3871370590072,747.7302481351804,2,806.9424928794249,1,796.7804206309464,0,0,1
19,29,1,773.3871370590072,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,0
20,28,1,693.1542112950341,747.7302481351804,5,806.9424928794249,1,660.7064309306392,0,0,0
24,39,1,693.1542112950341,747.7302481351804,5,728.6656035328754,1,796.7804206309464,0,0,0
25,49,0,693.1542112950341,747.7302481351804,5,806.9424928794249,1,796.7804206309464,0,0,0
26,40,0,773.3871370590072,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,0
