,Income
0,425
1,0
2,860
3,850
4,570
5,300
6,0
7,0
8,0
9,0
10,0
11,0
12,860
13,800
14,0
15,400
16,0
17,850
18,672
19,950
20,500
21,0
22,0
23,0
24,1367
25,1200
26,0
27,1100
28,0
29,0
30,800
31,1800
32,500
33,1600
34,0
35,0
36,1400
37,0
38,0
39,0
40,650
41,0
42,600
43,500
44,1200
46,545
47,0
48,550
49,1030
50,1400
51,550
52,1000
53,2400
54,500
55,0
56,0
57,500
58,2000
59,0
60,0
61,700
62,0
63,425
64,0
65,213
66,1600
67,600
68,988
69,700
70,0
71,0
72,1000
73,0
74,500
75,0
76,902
77,500
78,0
79,500
80,0
81,1570
82,2100
83,0
84,0
85,475
86,0
87,700
88,1400
89,200
90,1100
91,0
92,1700
93,0
94,575
95,600
96,1240
97,750
98,0
99,0
100,0
101,1800
102,0
103,0
104,500
105,0
106,0
107,435
108,0
109,0
110,0
111,725
112,0
113,800
114,0
115,0
116,800
117,785
118,0
119,0
120,0
121,1063
122,0
123,475
124,500
125,2000
126,1187
127,435
128,1100
129,850
130,450
131,0
132,1163
133,0
134,0
135,0
136,625
137,500
138,800
139,0
140,0
141,600
142,0
143,1000
144,0
145,1000
146,800
147,0
148,0
149,0
150,0
151,1584
152,800
153,2000
154,700
155,0
156,0
157,0
158,5000
159,200
160,800
161,725
162,0
163,0
164,1000
165,0
166,0
167,1672
168,0
169,600
170,750
171,0
172,0
173,425
174,0
175,700
176,200
177,1060
178,0
179,435
180,0
181,0
182,0
183,0
184,1100
185,1289
186,710
187,300
188,0
189,0
190,0
191,0
192,550
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,870
201,825
202,700
203,0
204,939
205,445
206,0
207,0
208,970
209,600
210,1135
211,1199
212,425
213,0
214,0
215,0
216,1300
217,0
218,650
219,715
220,2000
221,0
222,575
223,300
224,750
225,650
226,615
227,0
228,500
229,1000
230,0
231,650
232,0
233,1865
234,500
235,1500
236,1000
237,0
238,0
239,400
240,1540
241,575
242,1735
244,0
245,0
246,0
247,0
248,0
249,0
250,2000
251,0
252,0
253,500
254,475
255,420
256,2200
257,600
258,0
259,1575
260,700
261,560
262,0
263,650
264,832
265,550
266,0
267,0
268,0
269,0
270,1400
271,0
272,700
273,500
274,0
275,0
276,0
277,945
278,0
279,450
280,872
281,0
282,0
283,1325
284,1700
285,697
286,0
287,0
288,0
289,0
290,0
291,800
292,0
293,0
294,0
295,1202
296,425
297,700
298,0
299,0
300,0
301,740
302,0
303,0
304,1100
305,600
306,1682
307,0
308,1220
309,0
310,1200
311,640
312,0
313,525
314,0
315,700
316,0
317,0
318,0
319,975
320,425
321,1100
322,1400
323,1332
324,460
325,0
326,0
327,0
328,1400
329,0
330,0
331,0
332,0
333,0
334,0
335,400
336,600
337,0
338,0
339,500
340,1200
341,8800
342,0
343,600
344,0
345,1900
346,0
347,0
348,1300
349,0
350,450
351,1800
352,1800
353,0
354,2331
355,0
356,0
357,5500
358,788
359,683
360,0
361,0
362,708
363,1100
364,0
365,0
366,1400
367,1000
368,0
369,800
370,0
371,445
372,1280
373,865
374,1100
375,670
376,0
377,752
378,0
379,833
380,0
381,1600
382,1352
383,0
384,0
385,0
386,641
387,0
388,0
389,900
390,800
391,0
392,3000
393,0
394,0
395,0
396,0
397,1350
398,700
399,720
400,0
401,500
402,0
403,435
404,455
405,0
406,1050
407,900
408,900
409,0
410,425
411,0
412,0
413,0
414,0
415,1250
416,1525
417,0
418,0
419,0
420,700
421,745
422,1085
423,930
424,0
425,800
426,0
427,0
428,850
429,0
430,1000
431,1700
432,500
433,650
434,0
435,1383
436,700
437,1250
438,1722
439,0
440,0
441,0
442,0
443,435
444,0
445,650
446,1300
447,1270
448,543
449,1164
450,1100
451,1600
452,0
453,425
454,0
455,0
456,490
457,0
458,1950
459,555
460,1099
461,630
462,0
463,0
464,0
465,0
466,1120
467,9800
468,1065
469,465
470,0
471,1900
472,0
473,0
474,700
475,0
476,0
477,0
478,2600
479,0
480,550
481,0
482,1800
483,1079
484,750
486,0
487,0
488,900
489,0
490,425
491,700
492,0
493,1400
494,0
495,900
496,729
497,0
498,0
499,435
500,0
501,0
502,0
503,850
504,650
505,600
506,500
507,0
508,0
509,0
510,0
511,0
512,981
513,1250
514,1100
515,600
516,600
517,0
518,0
519,450
520,550
521,1092
522,0
523,550
524,425
525,0
526,1095
527,600
528,0
529,600
530,0
531,2029
532,1700
533,425
534,1076
535,0
536,1002
537,550
538,0
539,700
540,0
541,0
542,500
543,0
544,500
545,700
546,0
547,0
548,797
549,605
550,0
551,1060
552,0
553,0
554,625
555,0
556,0
557,1700
558,430
559,1000
560,500
561,750
562,1288
563,750
564,0
565,765
566,600
567,1525
568,0
569,0
570,0
571,0
572,0
573,1170
574,700
575,0
576,600
577,0
578,0
579,1100
580,425
581,850
582,1218
583,700
584,0
585,500
586,0
587,1000
588,0
589,0
590,1000
591,0
592,0
593,700
594,500
595,575
596,1125
597,0
598,0
599,1500
600,0
601,1800
602,0
603,510
604,0
605,0
606,0
607,600
608,0
609,0
610,800
611,600
612,1500
613,805
614,0
615,1100
616,620
617,550
618,0
619,692
620,650
621,705
622,425
623,1600
624,1475
625,0
626,0
627,600
628,0
629,0
630,1000
631,0
632,600
633,0
634,1000
635,0
636,0
637,1214
638,800
639,800
640,0
641,0
642,750
643,0
644,1700
645,0
646,720
647,0
648,900
649,0
650,0
651,0
652,780
653,425
654,0
655,800
656,840
657,0
658,1070
659,850
660,500
661,550
662,0
663,213
664,0
665,0
666,0
667,1600
668,0
669,325
670,595
671,0
672,0
673,900
674,1000
675,0
676,0
677,0
678,0
679,1000
680,0
681,500
682,0
683,0
684,0
685,900
686,425
687,2500
688,797
689,1003
690,1391
691,0
692,0
693,435
694,720
695,0
696,600
697,0
698,777
699,0
700,450
701,525
702,0
703,700
704,0
705,0
706,1100
707,0
708,0
709,0
710,0
711,820
712,0
713,737
714,1786
715,0
716,0
717,1725
718,0
719,700
720,700
721,0
722,2900
723,0
724,0
725,560
726,0
727,0
728,0
729,0
730,0
731,0
732,475
733,0
734,0
735,0
736,600
737,500
738,550
739,1300
740,803
741,0
742,800
743,2100
744,800
745,1500
746,1600
747,900
748,650
749,1888
750,0
751,900
752,0
753,550
754,700
755,0
756,460
757,2000
758,0
759,700
760,650
761,600
762,2755
763,647
764,790
765,1186
766,621
767,0
768,925
769,0
770,0
771,425
772,0
773,0
774,0
775,0
776,0
777,0
778,1100
779,1000
780,0
781,700
782,0
783,0
784,0
785,0
786,700
787,1100
788,595
789,425
790,700
791,0
792,900
793,0
794,0
795,0
796,0
797,1800
798,0
799,800
800,0
801,1100
802,550
803,0
804,200
805,0
806,951
807,0
808,0
809,1043
810,450
811,0
812,0
813,1000
814,0
815,0
816,0
817,0
818,900
